x,y
上汽大众,2019430
一汽大众,1991788
上汽通用,1749496
吉利汽车,1473305
上汽通用五菱,1316186
东风日产,1300042
长城汽车,881539
长安汽车,826432
北京现代,746090
广汽本田,735410
