x,y
上汽大众,9623609
上汽通用别克,8705153
一汽-大众,7825109
一汽-丰田,6191279
长安汽车,5695685
一汽-大众奥迪,4700207
东风日产,4619951
长城汽车,4598832
广汽本田,4518839
吉利汽车,4088321
